법정동코드,시도명,시군구코드,시군구명,읍면동코드,읍면동명,리명
4146134030,경기도,41461,용인시처인구,34030,원삼면,학일리
4146134031,경기도,41461,용인시처인구,34031,원삼면,문촌리
4146134032,경기도,41461,용인시처인구,34032,원삼면,가재월리
4146135000,경기도,41461,용인시처인구,35000,백암면,
4146135021,경기도,41461,용인시처인구,35021,백암면,백암리
4146135022,경기도,41461,용인시처인구,35022,백암면,박곡리
4146135023,경기도,41461,용인시처인구,35023,백암면,백봉리
4146135024,경기도,41461,용인시처인구,35024,백암면,고안리
4146135025,경기도,41461,용인시처인구,35025,백암면,옥산리
4146135026,경기도,41461,용인시처인구,35026,백암면,장평리
4146135027,경기도,41461,용인시처인구,35027,백암면,석천리
4146135028,경기도,41461,용인시처인구,35028,백암면,용천리
4146135029,경기도,41461,용인시처인구,35029,백암면,근삼리
4146135030,경기도,41461,용인시처인구,35030,백암면,근창리
4146135031,경기도,41461,용인시처인구,35031,백암면,근곡리
4146135032,경기도,41461,용인시처인구,35032,백암면,가창리
4146135033,경기도,41461,용인시처인구,35033,백암면,가좌리
4146136000,경기도,41461,용인시처인구,36000,양지면,
4146134000,경기도,41461,용인시처인구,34000,원삼면,
4146134021,경기도,41461,용인시처인구,34021,원삼면,고당리
4146134027,경기도,41461,용인시처인구,34027,원삼면,독성리
4146136021,경기도,41461,용인시처인구,36021,양지면,양지리
4146136022,경기도,41461,용인시처인구,36022,양지면,남곡리
4146136023,경기도,41461,용인시처인구,36023,양지면,평창리
4146136024,경기도,41461,용인시처인구,36024,양지면,제일리
4146136025,경기도,41461,용인시처인구,36025,양지면,추계리
4146136026,경기도,41461,용인시처인구,36026,양지면,식금리
4146136027,경기도,41461,용인시처인구,36027,양지면,정수리
4146136028,경기도,41461,용인시처인구,36028,양지면,대대리
4146136029,경기도,41461,용인시처인구,36029,양지면,주북리
4146136030,경기도,41461,용인시처인구,36030,양지면,송문리
4146300000,경기도,41463,용인시기흥구,00000,,
4146310100,경기도,41463,용인시기흥구,10100,신갈동,
4146310200,경기도,41463,용인시기흥구,10200,구갈동,
4146310300,경기도,41463,용인시기흥구,10300,상갈동,
4146310400,경기도,41463,용인시기흥구,10400,하갈동,
4146310500,경기도,41463,용인시기흥구,10500,보라동,
4146310600,경기도,41463,용인시기흥구,10600,지곡동,
4146310700,경기도,41463,용인시기흥구,10700,공세동,
4146310900,경기도,41463,용인시기흥구,10900,농서동,
4146311000,경기도,41463,용인시기흥구,11000,서천동,
4146311200,경기도,41463,용인시기흥구,11200,언남동,
4146110800,경기도,41461,용인시처인구,10800,운학동,
4146110900,경기도,41461,용인시처인구,10900,호동,
4146125000,경기도,41461,용인시처인구,25000,포곡읍,
4146125021,경기도,41461,용인시처인구,25021,포곡읍,삼계리
4146125022,경기도,41461,용인시처인구,25022,포곡읍,금어리
4146125024,경기도,41461,용인시처인구,25024,포곡읍,영문리
4146125025,경기도,41461,용인시처인구,25025,포곡읍,마성리
4146125026,경기도,41461,용인시처인구,25026,포곡읍,가실리
4146125028,경기도,41461,용인시처인구,25028,포곡읍,유운리
4146125029,경기도,41461,용인시처인구,25029,포곡읍,신원리
4146125900,경기도,41461,용인시처인구,25900,남사읍,
4146125922,경기도,41461,용인시처인구,25922,남사읍,북리
4146125923,경기도,41461,용인시처인구,25923,남사읍,통삼리
4146125924,경기도,41461,용인시처인구,25924,남사읍,봉명리
4146125926,경기도,41461,용인시처인구,25926,남사읍,원암리
4146125927,경기도,41461,용인시처인구,25927,남사읍,전궁리
4146125928,경기도,41461,용인시처인구,25928,남사읍,방아리
4146125930,경기도,41461,용인시처인구,25930,남사읍,아곡리
4146125931,경기도,41461,용인시처인구,25931,남사읍,완장리
4183039526,경기도,41830,양평군,39526,지평면,일신리
4183039528,경기도,41830,양평군,39528,지평면,곡수리
4183039529,경기도,41830,양평군,39529,지평면,수곡리
4183039530,경기도,41830,양평군,39530,지평면,옥현리
4159012500,경기도,41590,화성시,12500,송산동,
4159012600,경기도,41590,화성시,12600,안녕동,
4159025926,경기도,41590,화성시,25926,향남읍,하길리
4159025927,경기도,41590,화성시,25927,향남읍,화리현리
4159025928,경기도,41590,화성시,25928,향남읍,상두리
4159025930,경기도,41590,화성시,25930,향남읍,길성리
4148012300,경기도,41480,파주시,12300,금릉동,
4148041023,경기도,41480,파주시,41023,진서면,금릉리
4157036032,경기도,41570,김포시,36032,하성면,마근포리
4159000000,경기도,41590,화성시,00000,,
4159035000,경기도,41590,화성시,35000,서신면,
4159035021,경기도,41590,화성시,35021,서신면,전곡리
4159035022,경기도,41590,화성시,35022,서신면,상안리
4159035024,경기도,41590,화성시,35024,서신면,장외리
4159035025,경기도,41590,화성시,35025,서신면,송교리
4121000000,경기도,41210,광명시,00000,,
4121010100,경기도,41210,광명시,10100,광명동,
4121010200,경기도,41210,광명시,10200,철산동,
4121010400,경기도,41210,광명시,10400,소하동,
4121010500,경기도,41210,광명시,10500,노온사동,
4121010600,경기도,41210,광명시,10600,일직동,
4121010700,경기도,41210,광명시,10700,가학동,
4121010800,경기도,41210,광명시,10800,옥길동,
4122000000,경기도,41220,평택시,00000,,
4122010100,경기도,41220,평택시,10100,서정동,
4122010200,경기도,41220,평택시,10200,장당동,
4122010300,경기도,41220,평택시,10300,모곡동,
4122010400,경기도,41220,평택시,10400,칠괴동,
4122010500,경기도,41220,평택시,10500,칠원동,
4122010600,경기도,41220,평택시,10600,도일동,
4122010700,경기도,41220,평택시,10700,가재동,
4122010800,경기도,41220,평택시,10800,장안동,
4122010900,경기도,41220,평택시,10900,이충동,
4122011000,경기도,41220,평택시,11000,지산동,
4122011100,경기도,41220,평택시,11100,독곡동,
4122011200,경기도,41220,평택시,11200,신장동,
4122011300,경기도,41220,평택시,11300,평택동,
4122011400,경기도,41220,평택시,11400,통복동,
4122011500,경기도,41220,평택시,11500,군문동,
4122011600,경기도,41220,평택시,11600,유천동,
4122011700,경기도,41220,평택시,11700,합정동,
4122011800,경기도,41220,평택시,11800,비전동,
4122011900,경기도,41220,평택시,11900,동삭동,
4113310100,경기도,41133,성남시중원구,10100,성남동,
4113310300,경기도,41133,성남시중원구,10300,금광동,
4113310400,경기도,41133,성남시중원구,10400,은행동,
4113310500,경기도,41133,성남시중원구,10500,상대원동,
4113310600,경기도,41133,성남시중원구,10600,여수동,
4122012000,경기도,41220,평택시,12000,세교동,
4122012100,경기도,41220,평택시,12100,지제동,
4122012200,경기도,41220,평택시,12200,신대동,
4122012300,경기도,41220,평택시,12300,소사동,
4122012400,경기도,41220,평택시,12400,용이동,
4182025000,경기도,41820,가평군,25000,가평읍,
4182025021,경기도,41820,가평군,25021,가평읍,읍내리
4182025022,경기도,41820,가평군,25022,가평읍,대곡리
4182025023,경기도,41820,가평군,25023,가평읍,달전리
4182025024,경기도,41820,가평군,25024,가평읍,하색리
4182025025,경기도,41820,가평군,25025,가평읍,상색리
4180025030,경기도,41800,연천군,25030,연천읍,부곡리
4180025300,경기도,41800,연천군,25300,전곡읍,
4180025321,경기도,41800,연천군,25321,전곡읍,전곡리
4180025323,경기도,41800,연천군,25323,전곡읍,신답리
4180025324,경기도,41800,연천군,25324,전곡읍,고능리
4159013200,경기도,41590,화성시,13200,중동,
4159013300,경기도,41590,화성시,13300,신동,
4159013400,경기도,41590,화성시,13400,목동,
4159013600,경기도,41590,화성시,13600,장지동,
4159013700,경기도,41590,화성시,13700,송동,
4159013900,경기도,41590,화성시,13900,금곡동,
4159014000,경기도,41590,화성시,14000,새솔동,
4182034500,경기도,41820,가평군,34500,조종면,
4182034522,경기도,41820,가평군,34522,조종면,신상리
4182034524,경기도,41820,가평군,34524,조종면,상판리
4182034526,경기도,41820,가평군,34526,조종면,마일리
4182034527,경기도,41820,가평군,34527,조종면,대보리
4157025621,경기도,41570,김포시,25621,양촌읍,양곡리
4157025623,경기도,41570,김포시,25623,양촌읍,석모리
4157025624,경기도,41570,김포시,25624,양촌읍,구래리
4157025625,경기도,41570,김포시,25625,양촌읍,대포리
4157025627,경기도,41570,김포시,25627,양촌읍,유현리
4157025628,경기도,41570,김포시,25628,양촌읍,흥신리
4136011100,경기도,41360,남양주시,11100,별내동,
4155036026,경기도,41550,안성시,36026,양성면,도곡리
4155036027,경기도,41550,안성시,36027,양성면,산정리
4155036029,경기도,41550,안성시,36029,양성면,장서리
4155036030,경기도,41550,안성시,36030,양성면,난실리
4155036031,경기도,41550,안성시,36031,양성면,노곡리
4155036033,경기도,41550,안성시,36033,양성면,방축리
4155036034,경기도,41550,안성시,36034,양성면,필산리
4155036035,경기도,41550,안성시,36035,양성면,덕봉리
4155036037,경기도,41550,안성시,36037,양성면,삼암리
4155036038,경기도,41550,안성시,36038,양성면,방신리
4157036027,경기도,41570,김포시,36027,하성면,양택리
4157036028,경기도,41570,김포시,36028,하성면,원산리
4157036029,경기도,41570,김포시,36029,하성면,하사리
4157036031,경기도,41570,김포시,36031,하성면,전류리
4159012900,경기도,41590,화성시,12900,오산동,
4159013100,경기도,41590,화성시,13100,영천동,
4111513700,경기도,41115,수원시팔달구,13700,고등동,
4111513800,경기도,41115,수원시팔달구,13800,화서동,
4111514000,경기도,41115,수원시팔달구,14000,우만동,
4111514100,경기도,41115,수원시팔달구,14100,인계동,
4111710100,경기도,41117,수원시영통구,10100,매탄동,
4111710200,경기도,41117,수원시영통구,10200,원천동,
4111710400,경기도,41117,수원시영통구,10400,하동,
4111710500,경기도,41117,수원시영통구,10500,영통동,
4111710600,경기도,41117,수원시영통구,10600,신동,
4113000000,경기도,41130,성남시,00000,,
4113100000,경기도,41131,성남시수정구,00000,,
4113110100,경기도,41131,성남시수정구,10100,신흥동,
